transaction_id,apartment_id,city,dong,jibun,apt,addr_kr,exclusive_use_area,year_of_completion,transaction_year_month,transaction_date,floor,transaction_real_price
452492,9785,서울특별시,상도동,409-3,종인아네스트,상도동 409-3 종인아네스트,68.57,2010,201101,21~31,5,30000
175509,6281,서울특별시,도봉동,641,서원,도봉동 641 서원,59.51,1996,201610,11~20,5,26400
383183,3313,서울특별시,신도림동,643,동아1,신도림동 643 동아1,59.978,1999,201010,11~20,4,34650
410385,3848,서울특별시,시흥동,1002-1,럭키남서울,시흥동 1002-1 럭키남서울,49.75,1982,201002,11~20,9,28500
429055,4500,서울특별시,문래동3가,94,문래힐스테이트,문래동3가 94 문래힐스테이트,119.47,2003,201201,21~31,12,67450
368462,11292,서울특별시,가양동,1460,한강타운,가양동 1460 한강타운,84.99,1993,201512,11~20,5,43500
470509,913,서울특별시,본동,484,경동윈츠리버,본동 484 경동윈츠리버,79.68,2004,201610,21~31,5,47700
472545,1096,서울특별시,봉천동,1712,관악드림(삼성),봉천동 1712 관악드림(삼성),84.96,2003,200806,1~10,19,47000
328791,7261,서울특별시,신월동,1031,신도브래뉴2차,신월동 1031 신도브래뉴2차,107.04,2004,201507,11~20,8,41500
430632,8269,서울특별시,영등포동4가,103,영등포그랑그루,영등포동4가 103 영등포그랑그루,12.1,2012,201301,11~20,11,11790
1138018,8703,서울특별시,도화동,82,우성,도화동 82 우성,141.515,1991,201703,11~20,8,70000
272936,12403,서울특별시,홍제동,82,홍제한양,홍제동 82 홍제한양,84.77,1993,201409,11~20,15,36800
59727,3823,서울특별시,장안동,329-3,래미안장안2차(329-3),장안동 329-3 래미안장안2차(329-3),64.85,2007,200803,11~20,11,36400
551702,7841,서울특별시,삼성동,87,아이파크,삼성동 87 아이파크,195.388,2004,201407,21~31,19,360000
619318,5722,서울특별시,명일동,294,삼익그린1차,명일동 294 삼익그린1차,78.02,1981,200906,11~20,5,50900
620998,3666,서울특별시,둔촌동,174-1,둔촌주공2단지,둔촌동 174-1 둔촌주공2단지,88.43,1980,200908,11~20,4,93000
643165,5720,서울특별시,명일동,38,삼익그린11차,명일동 38 삼익그린11차,128.235,1986,201508,11~20,5,59500
300538,6552,서울특별시,성산동,446,성산시영(선경),성산동 446 성산시영(선경),50.54,1986,201604,11~20,12,40500
634693,4018,서울특별시,암사동,414-2,롯데캐슬퍼스트,암사동 414-2 롯데캐슬퍼스트,59.99,2008,201401,11~20,24,45000
436562,12035,서울특별시,당산동2가,164,현대,당산동2가 164 현대,82.77,1994,201411,11~20,2,41100
523047,6338,서울특별시,서초동,1682,서초래미안,서초동 1682 서초래미안,126.31,2003,201607,1~10,15,126000
250837,2295,서울특별시,대조동,185-71,대덕타워,대조동 185-71 대덕타워,18.25,2013,201304,11~20,7,13000
378069,3967,서울특별시,구로동,1263,롯데,구로동 1263 롯데,59.68,1999,200806,21~30,20,27500
371374,856,서울특별시,방화동,207-5,경남,방화동 207-5 경남,84.29,1991,201605,21~31,5,46500
214384,10031,서울특별시,중계동,78,진로유통조합대림,중계동 78 진로유통조합대림,84.94,1992,201407,1~10,1,29800
170035,768,서울특별시,방학동,701-15,거성학마을아파트,방학동 701-15 거성학마을아파트,134.29,1994,201509,21~30,1,35000
517362,3809,서울특별시,서초동,1301-6,래미안서초스위트,서초동 1301-6 래미안서초스위트,84.9571,2009,201505,1~10,11,100800
351741,4818,서울특별시,방화동,814,방화5,방화동 814 방화5,49.77,1994,201301,1~10,12,21300
586804,10909,서울특별시,잠실동,35,트리지움,잠실동 35 트리지움,84.83,2007,201210,21~31,18,86700
176895,11737,서울특별시,중계동,598,한화꿈에그린,중계동 598 한화꿈에그린,59.941,2005,200801,11~20,2,27500
427274,3615,서울특별시,영등포동,649,두산위브,영등포동 649 두산위브,83.98,2004,201103,1~10,7,44000
1134729,9054,서울특별시,홍은동,22,유원,홍은동 22 유원,64.26,1987,201702,1~10,9,29500
198805,9820,서울특별시,중계동,364-12,주공6,중계동 364-12 주공6,44.1,1993,201112,11~20,13,20800
106432,7839,서울특별시,종암동,131,아이파크2차,종암동 131 아이파크2차,84.73,2005,200909,21~30,10,51500
269130,10245,서울특별시,홍제동,453,청구1차,홍제동 453 청구1차,84.78,1994,201205,11~20,12,38200
616697,5722,서울특별시,명일동,294,삼익그린1차,명일동 294 삼익그린1차,53.88,1980,200901,11~20,3,27000
646562,5717,서울특별시,명일동,270,삼익가든,명일동 270 삼익가든,106.65,1984,201605,21~31,5,50500
642622,5722,서울특별시,명일동,294,삼익그린1차,명일동 294 삼익그린1차,56.46,1980,201507,1~10,2,27000
408375,3848,서울특별시,시흥동,1002-1,럭키남서울,시흥동 1002-1 럭키남서울,41.22,1981,200801,21~31,1,15500
